"","Document","Number","text","Codes","id","Groups","dec_type","subject","approach","tools","year","decade"
"1","Arad-Davidzon, Benbenishty - 2008 - The role of workers' attitudes and parent and child wishes in child protection workers' assessments.pdf","1:347","removal reunification assessments recommendation children child protection attitudes","Keywords",1,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate No, 1 CASP: Results Helpful Yes, Appr: MM Mixed Methods, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: VT Vignettes Critical Incident Technique","Strategic Decisions ","Decision Maker Factors ","Appr: MM ","Vignette Studies ",2008,"2000s"
"2","Beckett, McKeigue, Taylor - 2007 - Coming to conclusions social workers’ perceptions of the decision-making process in care proceeding.pdf","2:200","proceedings court delay decisionmaking weighting evidence","Keywords",2,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful No, Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation","Strategic Decisions ","Decision Maker Factors ","Qualitative ","Ethnographic Tools ",2007,"2000s"
"3","Broadhurst et al. - 2010 - Risk, instrumentalism and the humane project in social work Identifying the informal logics of risk managemen.pdf","5:191","informal logics management relationshipbased practice contingency bureaucracy assessment","Keywords",5,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful No, Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation","Strategic Decisions ","Organisational Factors ","Qualitative ","Ethnographic Tools ",2010,"2010s"
"4","Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf","9:296","decision making emotion voice children families continuing professional development","Keywords",9,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate No, 1 CASP: Results Helpful Yes, Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Decision Maker Factors ","Qualitative ","Ethnographic Tools ",2013,"2010s"
"5","Davidson-Arad et al. - 2003 - Why social workers do not implement decisions to remove children at risk from home.pdf","14:205","implementation decision making removing children","Keywords",14,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test","Strategic Decisions ","Decision Maker Factors ","Quantitative ","Quantitative Tools ",2003,"2000s"
"6","Dettlaff et al. - 2015 - Development of an instrument to understand the child protective services decision-making process, with a focus.pdf","16:324","keywordschild welfare child protection decisionmaking foster instrument survey","Keywords",16,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: QT Survey, Questionaire, Psy Test","Strategic Decisions ","Organisational Factors ","Quantitative ","Quantitative Tools ",2015,"2010s"
"7","English, Thompson, White - 2015 - Predicting risk of entry into foster care from early childhood experiences A survival analysis using L.pdf","20:134","keywordsfoster placement longscan early childhood survival analysis","Keywords",20,"1 CASP: Appropriate Method No, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis","Strategic Decisions ","Case Factors ","Quantitative ","Statistical Analysis ",2015,"2010s"
"8","Enosh, Bayer-Topilsky - 2015 - Reasoning and bias Heuristics in safety assessment and placement decisions for children at risk.pdf","21:338","decision making children placement disproportionality accepted november","Keywords",21,"1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: CF Case Factors, Tool: QT Survey, Questionaire, Psy Test, Tool: VT Vignettes Critical Incident Technique","Strategic Decisions ","Case Factors ","Quantitative ","Quantitative Tools ",2015,"2010s"
"9","Font, Maguire-Jack - 2015 - Reprint of Decision-making in child protective services Influences at multiple levels of the social ecology.pdf","23:242","keywordschild maltreatment foster substantiation decisionmaking ecologicalhlm","Keywords",23,"Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: SA Statistical Analysis","Strategic Decisions ","Organisational Factors ","Quantitative ","Statistical Analysis ",2015,"2010s"
"10","Gillingham - 2011 - Decision-making tools and the development of expertise in child protection practitioners are we ‘just breeding w.pdf","26:221","decisionmaking tools expertise training","Keywords",26,"Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: Australia/ New Zealand, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation","Clinical Decisions ","Organisational Factors ","Qualitative ","Ethnographic Tools ",2011,"2010s"
