Number;Name;Text Content;Document;Codes;Number of Codes;Comment;Location;Creator;Creation Date;Modifier;Modification Date
1:340;"1.71; n.s). Nor was there a significant interaction (F(2,191) = .23; n.s). Univariate ANOVAs indicat…";"1.71; n.s). Nor was there a significant interaction (F(2,191) = .23; n.s). Univariate ANOVAs indicate that ‘pro-removal’ attitudes are associated with higher assessments of risk and with recommenda- tions for more intrusive interventions. Means, standard deviations, and the results of the univariate ANOVAs are presented in Table 3.Finally, we tested whether the assessment of the quality of foster care moderates the effects of the workers' attitudes toward removal to foster care on their recommended intervention. No such interaction was found.";Arad-Davidzon, Benbenishty - 2008 - The role of workers' attitudes and parent and child wishes in child protection workers' assessments.pdf;Structure: Findings Results;1;;start=92 end=641 startpage=8 endpage=8;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
2:198;As we stated earlier, our view is that the comments of the social workers are both valid and partial…;"As we stated earlier, our view is that the comments of the social workers are both valid and partial. They draw attention to important issues, but the reader should bear in mind that different and equally impor- tant issues would emerge if a similar exercise were undertaken with other participants.Quality of decision-makingThe following concerns emerged about the way that decisions are reached in the care proceedings process:∑ The game-like aspects of the process can lead tocompromises that do not truly address the best interests of children. This occurs if influential play- ers are motivated by the desire to score points or by other purely personal needs that (perhaps as a result of lack of supervision) supplant or become confused with the needs of the child. (Compare one of Dickens’ social work manager informants: ‘The child got lost in the process of the legal game’; Dickens 2006, p. 82.)∑ Too much weight was given to the opinions of par- ticipants whose knowledge of the case and/or recent experience of actually implementing plans was limited.∑ There was a lack of time for the social workers themselves to truly ‘get to know’ the children.∑ Long-term patterns were too readily discounted in the light of limited evidence from new assessments, sometimes carried out in very artificial conditions. The latter occurred for a variety of reasonsincluding:∑ A tendency on the part of all participants (includingsocial workers themselves) to distrust second-hand information and to want to look at the situation anew themselves.∑ The fact that those best placed to observe long-term patterns are often of relatively low status, including unqualified staff and social workers themselves.∑ Social workers, particularly in complex cases, may not have time to properly consider the available written evidence – or it may simply be unavailable.Bias towards ‘safety’We referred earlier to comments suggesting a bias towards removing children as against leaving them in situations where there was some risk. We also noted that going to court has its attractions: it is exciting and has a clear ‘structure’ (Hilltown B). As social workers choosing to resist the court route are also placing themselves in a position where failure could result in public disgrace – UK social workers do tend to see a media lynching as their likely fate if they fail to protect children – we do not find it hard to see why choosing care proceedings could, in borderline situations, be the more attractive option. Perhaps this is a dynamic that helps to account for the increasing numbers of care proceedings being brought to court.The problem of expertiseWe do not have to agree with Hilltown D that social workers alone ‘should be able to say what is in the best interests of the children’ to recognize that distor- tions and delays will occur in the decision-making process if the expertise of any participant is either over- or undervalued. In the UK, recent miscarriages of justice resulting from excessive weight being placed on the evidence of a paediatrician, Professor Roy Meadow, are examples of expert evidence being over- valued, though, as The Observer newspaper commented:Meadow’s [case] highlights the enormous difficulties involved in being a witness in highly complex cases where giving your opinion may be treated as cast-iron fact . . . Currently, doc- tors are all too often trapped by an adversarial system into presenting evidence as black or white when, in truth, it may be grey. (The Observer 2005)In a discussion on the difficulties for judges and welfare officials in reaching decisions in matrimonial custody cases, Jon Elster refers to a ‘psychological tension in decision makers that many will be unable to tolerate’, resulting from the gravity of the decision taken together with the lack of an incontrovertible way of making it. He suggests that some resolve this ‘by an irrational belief in the possibility of rational pref- erence’ (Elster 1989, p. 124), a belief that, given enough information and expertise, an incontro- vertibly ‘right’ answer will emerge. Although care";Beckett, McKeigue, Taylor - 2007 - Coming to conclusions social workers’ perceptions of the decision-making process in care proceeding.pdf;Structure: Findings Results;1;;start=494 end=4603 startpage=7 endpage=7;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
2:199;proceedings are a different process, similar tensions exist, and we suggest that one ‘irrational bel…;proceedings are a different process, similar tensions exist, and we suggest that one ‘irrational belief’ that may emerge is an excessive faith by a participant either in the infallibility of some other participant or in the infallibility of him- or herself. Beckett & McK- eigue (2003) describe one striking example of a single expert, on the basis of very limited direct knowledge of a case, being allowed to overturn an established consensus, with disastrous results.Some observers might be inclined to dismiss the complaints of social workers about the deference shown to the views of experts and guardians as pro- fessional jealousy. But they actually raise important questions about the meaning and limits of expertise in this area. Poor decisions and unnecessary delays will result if courts have an inflated idea of the level of certainty that any professional can reasonably achieve.DelayTo actually come to a conclusion carries the risk of discovering that one’s conclusion is wrong, and this creates an incentive to delay. However, it would appear that the protocol has had some success in creating a new set of incentives. Social workers did feel under pressure to bring things to a rapid conclu- sion and they did see at least some evidence that courts are being tougher on known causes of delay such as requests for additional assessments or new parties joining proceedings at a late stage. If this trans- lated into quicker decision-making, this should be good news for children, although, as Daletown E noted, we need to remember that delay in court is not the only obstacle in the way of long-term resolution. [An American study (Bishop et al. 1992) found that court proceedings were the middle part of a much longer period of uncertainty. A Northern Irish report made the related point that the length of proceedings per se is not necessarily the issue, so much as the length of time that a child spends in temporary care arrangements (McSherry et al. 2004).] And there were concerns that tight deadlines could lead to prob- lems with the quality of the work.CONCLUSIONIt is not easy to design a process that will both deliver the best possible answers to complex and very impor- tant questions, and do so quickly. We would be foolish to suggest detailed changes on the basis of the limited and partial view presented here.62 Child and Family Social Work 2007, 12, pp 54–63However, one important point to make is that it may be mistaken to assume that there is necessarily always a trade-off between the quality of decision- making and its speed. Our findings suggest that there are a number of factors in the present system that may cause both delay and inferior decision-making.First, the system would be more likely to yield both better and quicker decisions if it were less adversarial, because this would reduce the game-playing aspects of the current process that can intrude on rational consideration of the child’s best interests.Second, if all participants were well supported rather than acting in isolation, this would also be likely to result both in quicker and in better outcomes, as personal agendas and anxiety-reducing distortions would then be less likely to intrude.Third, failure to properly utilize information from the past is also likely both to cause delay and to result in inferior decisions being made. To adapt a well- known aphorism: Those who neglect the past may be condemning children and parents to repeat it.;Beckett, McKeigue, Taylor - 2007 - Coming to conclusions social workers’ perceptions of the decision-making process in care proceeding.pdf;Structure: Findings Results;1;;start=90 end=3558 startpage=8 endpage=8;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
5:180;Practitioners described a process of shifting between a range of risk- management strategies and res…;"Practitioners described a process of shifting between a range of risk- management strategies and resources. They understood the need to pay due regard to the demands of procedure and protocol, but work did not stop there. They described an iterative process of moving back and forth between the demands of procedure and the demands of the case, the case being all those ‘real-world’ details that arise in the context of the practice of social work but which are left out of standardised question-and-answer formats. From detailed analysis of the data-sets, we have condensed the informal logics of risk management into the following three key elements:(1) The logics of risk-management strategies are emergent/contingent; they arise in relation to particular cases as reflexive, individualised and tai- lored responses.(2) Risk assessment practices are embedded in social relations—team culture, client–worker relationships that create unique contingencies, but also habitual responses.(3) A multiplicity of rationalities operate, concerning not just instrumental matters, but human virtues of compassion, empathy and a sense of moral responsibility for others.Selected case examples are provided below. Each case illustrates all three elements of the informal logics of risk that we describe in our statements. The case studies all display in different ways the interplay of formal and informal risk-management strategies that we observed.Case Example 1This first case example draws on an interview with a student social worker placed in a ‘Children with Disabilities’ team. The student talks about mana- ging risk with respect to a specific family, focusing on the difficulty of";Broadhurst et al. - 2010 - Risk, instrumentalism and the humane project in social work Identifying the informal logics of risk managemen.pdf;Structure: Findings Results;1;;start=845 end=2531 startpage=6 endpage=6;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
5:183;In this case example, we see how the student social worker struggles to manage the relational intric…;In this case example, we see how the student social worker struggles to manage the relational intricacies of work with a family with a disabled child when faced with a template that is inappropriate for the task at hand and formal processes that may hinder rather than help good practice.Case Example 2This second example is drawn from a focus group with a team of pro- fessionals, from health, education and social work, who are co-located to form a single child protection and prevention team. The workers describe the process of undertaking a pre-birth assessment in a case that is highly emotive and complicated by tensions and contractions between the team’s risk assessments and those of collaborating agencies.The focus group participants outline the case:Participant 1 (health visitor): . . . she’d (the mother) had another family that she’d dumped.Participant 2 (school nurse): . . . she’d 2 children already, but because the conditions of his release (from prison) were that he couldn’t return to his home town, she left her own children to come and be with him here in X town.Participant 1: . . . she’d pretty much abandoned her own children with differ- ent family members to come over here. She’d no history with social services before regarding her children, so there really there were no major concerns about her parenting, . . . wasn’t any major concerns about her parenting.Participant 2: . . . but it was the fact that she willingly entered a relationship, knowing that he was a murderer, got herself pregnant and married within the space of literally a few months of his release!Participant 1: . . . and knowing that he’d murdered the mother of his own children, in front of those children!This initial description of the case largely centres on the mother. She has abandoned her children for a murderer—a morally perplexing response given the workers’ normative understandings about ‘good motherhood’. With no prior history on this mother, assessing and evidencing risk was par- ticularly difficult. The risk assessment was further complicated by the pro- bation assessment:Participant 3 (family support worker): . . . he’d served 12 years inside and then was out on life license, because he’d made such good progress, so as far as probation was concerned he was low risk. He had been rehabilitated, considered low risk, low risk to the population as a whole. And this was par- ticularly horrendous for our team, because from other professionals’ points of view, particularly probation, they couldn’t understand our concerns. He’d done his rehabilitation.There are differences between child protection and probation risk concerns and conclusions. Each risk methodology is credible in its own domain and;Broadhurst et al. - 2010 - Risk, instrumentalism and the humane project in social work Identifying the informal logics of risk managemen.pdf;Structure: Findings Results;1;;start=50 end=2783 startpage=9 endpage=9;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
9:286;Findings and analysis All the groups focused on the significance of organisational and manage- ment…;Findings and analysisAll the groups focused on the significance of organisational and manage- ment processes in influencing decision making. This was discussed inDownloaded from http://bjsw.oxfordjournals.org/ at Bolland Library, UWE Bristol on January 20, 2014;Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;Structure: Findings Results;1;;start=2910 end=3174 startpage=5 endpage=5;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
9:287;terms of constraints, boundaries and resource dimensions. However, the impact of emotions, interwove…;"terms of constraints, boundaries and resource dimensions. However, the impact of emotions, interwoven with the passing of time and strength of voice, emerged most powerfully. The extracts presented below reflect these three themes.Impact of emotionsEmotional responses and triggers, relationship dynamics and practice con- texts were identified as interacting in decision making. An observable dif- ference in the data was the capacity of qualified practitioners to identify and express significant emotions about service users. Recognition of em- pathic and negative feelings and their potential to influence behaviour was overtly acknowledged and noted as a source of power, regardless of or- ganisational constraints:Often the decision is not about policies and procedures . . .. It’s about per- sonality; it’s about feelings, emotions, power . . . you know (Qualified Prac- titioner FG3).But sometimes we do feel more for some clients in some situations than we do for others, and certain personalities and situations might hit on some- thing that is personal for us. And you want to try that much harder. . . . To maybe go that extra mile...and other times you kind of think, ‘Okay, okay, my Manager has decided’ (Qualified Practitioner FG4).Both qualified and student practitioner discourse reflected feelings which were arguably in conflict with anti-oppressive values but which reflected their lived experience of decision making in practice. There was recognition that some service users trigger personal experiences or responses that may result in the practitioner ‘going that extra mile’, such as to challenge a man- agement decision regarding resources or conversely to comply more readily with such a decision due to negative feelings about that individual client. Qualified practitioners expressed more concerns about the extent to which such feelings directly influenced actions:[Serviceusers]...Ican’twarmto...IhopethatIwouldnever...butI’msure it must play in my . . .—I’m sure it does (011) (Qualified Practitioner FG3).While student practitioners expressed care for service users, their expressed feelings tended to focus on themselves, the impact of decisions they witnessed and were involved in, the stress, pressure and ‘scared’ feel- ings encountered in this process:. . . if you’re stressed and under pressure your decision-making is going to be affected by that basically and whether you can be bothered to really put the time and effort into a particular case (Student Practitioner (postgradu- ate) FG2).Downloaded from http://bjsw.oxfordjournals.org/ at Bolland Library, UWE Bristol on January 20, 2014";Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;Structure: Findings Results;1;;start=66 end=2704 startpage=6 endpage=6;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
9:289;The temporal nature of professional development and social work practice in responding to and assess…;The temporal nature of professional development and social work practice in responding to and assessing service users’ circumstances which are fluid and contextual emerged as a core theme. The passing of time was identified as crucial in relation to perceptions of decision making, relating to practi- tioner and service user experiences of ‘lived time’ and organisational and policy constructions of time. As qualified practitioners have greater length of experience, this resulted in a much wider range of case-based de- cision making being discussed. Their sense of time in the workplace varies to that of students, who are on a prescribed time-limited course, where the core focus is on their own learning.Downloaded from http://bjsw.oxfordjournals.org/ at Bolland Library, UWE Bristol on January 20, 2014;Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;Structure: Findings Results;1;;start=1871 end=2682 startpage=7 endpage=7;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
9:290;Time signified for student practitioners their developing role in decision making, gaps in learning…;Time signified for student practitioners their developing role in decision making, gaps in learning and awareness of the contradictions between the- oretical teaching at university and what may be observed in practice:I’m really, really struggling with what I’ve learnt and what I see on the ground (Student Practitioner (undergraduate) FG1).Even . . . when you qualify, five years down the line, there might be some- thing that you don’t understand (Student Practitioner (postgraduate) FG2).The wish to become qualified and the hope that, over time, this transition would bring with it more experience, confidence and certainty in decision making was a distinct theme in the student practitioner dialogue. Develop- ment of learning and expertise was contrasted with pre-course experience and confidence:Now . . . having a theoretical framework . . . I feel quite confident of what I am recommending (Student Practitioner (undergraduate) FG1).For qualified practitioners, discussion centred on immediate decisions in- volving risk, child protection and longer-term work with children and their families where complex decisions needed to be made and reviewed, involv- ing capacity for the parent to change. Their own professional identity, the development of their role and learning from experience were central. Par- ticipants noted discrepancies between the length of time spent with children and families, the evidence provided from this and the weight given to the views and decisions of other professionals who may see a family once or twice. This was pertinent to court processes for care proceedings where time is a crucial factor. The passing of time interfaced with ‘voice’ and the strength of the social work voice in interprofessional contexts.Qualified practitioners perceived that their skills in complex communica- tion and assessment had developed since qualification and were more able to encourage service users to tell their story:I think you get better with questions, don’t you? . . . In terms of analysis you know to cut through to the chase and get that information to base your deci- sions on.and in response:You get better at reading people as well (Qualified Practitioners FG4).Qualified practitioners identified the importance of the perspective of children and their need for stability and security in ensuring suitable time- scales for parents to demonstrate ability and motivation to change. Two examples illustrate the complexities of the decision-making process and the significance of time to review evidence in order to avoid falling into heuristic patterns of risk assessment and decision making which lack in-depth analysis and reasoning:;Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;Structure: Findings Results;1;;start=66 end=2748 startpage=8 endpage=8;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
9:291;To get off crack cocaine . . . the tenth person may well do it so, am I not going to give that tenth…;To get off crack cocaine . . . the tenth person may well do it so, am I not going to give that tenth person the full chance that they deserve, because I’m thinking well the other nine people that I worked with didn’t? (Quali- fied Practitioner FG4)A decision made to remove a child at birth because the evidence suggests the child is at risk, and actually by the time that case is transferred to a Chil- dren Looked After team actually that risk might have changed . . . one of the things I have struggled with is the confidence to challenge (Qualified Prac- titioner FG3).The confidence and skills required to engage others in reconsidering an inherited decision (taken by previous caseworker or manager) and the need to critically reflect on experience, practice wisdom, intuition and values, drawing on evidence from research, emphasise the significance of time and voice as interlinked themes.Both student and qualified practitioners noted the challenge of organisa- tional systems and policies which remove opportunities to know or learn from the outcomes of decision making over time:It is about learning. But often we don’t see the outcome. You start the case, you make a decision and then it’s moved on to another team (Qualified Practitioner FG4).. . . measuring the consequences of that decision . . . I know my decision will signify the rest of this young person’s life (Student Practitioner (under- graduate) FG1).Strength of voiceWho has a voice? Which voices are listened to or acted upon, when and how? The power of individual and diverse voices involved in the social work process emerged as distinct themes across all focus groups. Qualified practitioners identified other professionals, organisations and their own managers as having powerful voices that were listened to and viewed more favourably and in preference to their own voice. Legal and medical professionals were unanimously identified as having greater power and status. Qualified practitioners’ dialogue at times mirrored the lack of voice and sense of powerlessness they identified in some service users’ experience:When it comes to the level of managers in three different services, health, education and social care, and it’s out of control and you’re at the mercy, just like the families, what do you do? (Qualified Practitioner FG4)Both qualified and student practitioners focused on strategies they used in order to be recognised, such as involving senior managers (qualified prac- titioners) and repeatedly contacting other professionals until they carried out the task required (student practitioner). Student practitioners expressed a strong sense of the student voice not being ‘given weight’ by;Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;Structure: Findings Results;1;;start=47 end=2742 startpage=9 endpage=9;Stefan Kleipoedszus;11/10/2018;Stefan Kleipoedszus;11/10/2018
