Number;Name;Type;Quotations;Groups;Comment;Creator;Creation Date;Modifier;Modification Date;Origin
1;Arad-Davidzon, Benbenishty - 2008 - The role of workers' attitudes and parent and child wishes in child protection workers' assessments.pdf;PDF;279;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate No, 1 CASP: Results Helpful Yes, Appr: MM Mixed Methods, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: VT Vignettes Critical Incident Technique;"Aim: Influence of child and mothers wishes; Participants: n=200 CP Workers in Israel; Methodology: Mixed Methods; Research tools: Questionnaire, Case vignettes, Cluster Analysis; Findings: Cluster analyses identified two groups: a ‘pro-removal’ group and a more ‘anti-removal’ group; Locality/ Context: Israel";Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
2;Beckett, McKeigue, Taylor - 2007 - Coming to conclusions social workers’ perceptions of the decision-making process in care proceeding.pdf;PDF;172;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful No, Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;"Aim: How do social workers describe themselves coming to conclusions about cases, and how they perceive the courts as doing so?; Participants: 22 Social Workers in 2 LA’s; Methodology: Qualitative Research; Research tools: Focus Group Interviews; Findings: While it may seem that there is a trade-off between thoroughness and speed, this is not always the case and that factors that cause poor decision-making can also cause delay;Comment: Very limited number of focus group interviews. It is not clear how the focus groups were set up (what criteria were used to select participants?). Main issue in my view is that the questions (p. 56) invite for a retrospective positive construction of answers which is fueled by the the presence of other members in the group. Participants are likely to provide desireable answers. This is being discussed yet there does not seem to be any effort to mitigate against these limitations.";Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
5;Broadhurst et al. - 2010 - Risk, instrumentalism and the humane project in social work Identifying the informal logics of risk managemen.pdf;PDF;175;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful No, Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: OF Organisational Factors, Tool: ET Interview, Focus Group, Observation;Aim: Critique of instrumental approaches to risk management Participants: Social Workers / 3 illustrative case examples Methodology: Qualitative, multi-site ethnographic study in five local authorities in England and Wales Research tools: Focus Group, Interviews, direct observations, document analysis Findings: Locality: England and Wales  ;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
9;Connor, Leonard - 2013 - Decision Making in Children and Families Social Work The Practitioner ’ s Voice.pdf;PDF;209;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate No, 1 CASP: Results Helpful Yes, Appr: QL Qualitative Studies, Dec_Typ: CL Clincal Decisions, Gr: Children, Loc: UK, Rev: Included, Subj: DF Decision Maker Factors, Tool: ET Interview, Focus Group, Observation;Aim/ Question: Identify factors that influence decision making process Participants: 28 Students on placement and frontline practitioners Methodology: Grounded Theory Research tools: Focus Groups Findings: indicate a continuum of professional development and the significance of time in the learning process.  Ambivalence about professional voice is interwoven with develop- ing expertise, levels of discretion and emotional responses. Locality/ Context: UK;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
10;Courtney - 1998 - Correlates of social worker decisions to seek treatment-oriented out-of-home care.pdf;PDF;188;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: What child and family characteristics are associated with the preference of child welfare workers to place children and youth in distinct types of out-of-home care settings?  Participants: 348 Methodology: Quantitative Research tools: Questionnaire  Findings: Child age, behavior problems, and placement history were found to be strong predictors of social worker placement preferences. Locality/ Context: USA/ California;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
13;Davidson-Arad - 2001 - Predicted Changes in Children's Quality of Life in Decisions Regarding the Removal of Children at Risk from their.pdf;PDF;129;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;"Aim/ Question: Are child protection workers’ decisions as to whether or not to keep children at risk at home associated with their expec- tations of changes in the child’s quality of life at home? Is the parents’ co- operation with the child protection officer related to the assessment of the child’s quality of life and to the decision? Participants: 194 CP officers Methodology: Quantitative Research tools: parental features questionnaire, child injury questionnaire, and Shye’s Systemic Quality of Life Questionnaire Findings: significant relationship between the decision to remove children at risk from home and both expectations that these children’s quality of life is likely to deteriorate and assessments of their parents as uncooperative; and, con- versely, the decision to keep them at home and the expectation that their qual- ity of life will improve and the assessment of their parents as cooperative. Locality/ Context:  refers to same study as other article in same year";Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
14;Davidson-Arad et al. - 2003 - Why social workers do not implement decisions to remove children at risk from home.pdf;PDF;138;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: Other, Rev: Included, Subj: DF Decision Maker Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: The study explores why social workers do not always implement their decisions to remove children at risk from their homes. Participants: Social Workers (for 96 Children) Methodology: Quantitative Research tools: Questionnaire  Findings: The main reasons given were the objections of the parents and/or the child. Decisions were implemented for all the children whose mothers were alcohol or drug addicts. Implementation was lower for older children, children who were uncooperative with the social worker, and for children whose parents were uncooperative. It was also lower among experienced workers than novices.  Locality/ Context: Israel;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
16;Dettlaff et al. - 2015 - Development of an instrument to understand the child protective services decision-making process, with a focus.pdf;PDF;266;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: OF Organisational Factors, Tool: QT Survey, Questionaire, Psy Test;Aim/ Question: develop an instrument to explore, at the caseworker level, the context of the removal decision, with the objective of understanding the influ- ence of the individual and organizational factors on this decision Participants: Child Protection Case Workers n= 1070 - 1125 (?) Methodology: Quantitative Research tools: Survey Findings: Locality/ Context: USA/ Texas ;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
18;Drury-Hudson - 1999 - Decision making in Child Protection The Use of Theoretical, Empirical and Procedural Knowledge by Novices and Expe.pdf;PDF;203;1 CASP: Appropriate Method Yes, 1 CASP: Clear Statement of Research Aims No, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QL Qualitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: UK, Loc: USA/ Canada, Rev: Included, Subj: DF Decision Maker Factors, Tool: VT Vignettes Critical Incident Technique;Aim/ Question: the process of decision making in child protection, particularly as it relates to the decision whether or not to remove a child from home Participants: group of novice social workers with expert practitioners Methodology: three-stage, qualitative methodology was employed to investigate child protection decision making Research tools: utilized a case vignette of a neglect scenario. Findings: novices tend to lack a clear understanding of the factors that are associated with child maltreatmentLocality/ Context: UK ;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
20;English, Thompson, White - 2015 - Predicting risk of entry into foster care from early childhood experiences A survival analysis using L.pdf;PDF;163;1 CASP: Appropriate Method No, 1 CASP: Clear Statement of Research Aims Yes, 1 CASP: Research Design Appropriate Yes, 1 CASP: Results Helpful Yes, Appr: QT Quantitative Studies, Dec_Typ: SD Strategy Decisions, Gr: Children, Loc: USA/ Canada, Rev: Included, Subj: CF Case Factors, Tool: SA Statistical Analysis;Aim/ Question: whether a multi-domain model of maltreatment informed by an ecological framework predicted entry into foster care between the ages of 4 and 18 among children with no prior foster care experience. Participants/ Data Source: LONGSCAN (Longitudinal Studies of Child Abuse and Neglect) of 942 children Methodology: Secondary Data Analysis Research tools: Statistical Analysis Findings: there are important predictors for entry into out-of-home placement across multiple ecological domainsLocality/ Context: USA;Stefan Kleipoedszus;23/01/2017;Stefan Kleipoedszus;28/03/2017;
